codepoint,supported
U+1CC00,no
U+1CC01,no
U+1CC02,no
U+1CC03,no
U+1CC04,no
U+1CC05,no
U+1CC06,no
U+1CC07,no
U+1CC08,no
U+1CC09,no
U+1CC0A,no
U+1CC0B,no
U+1CC0C,no
U+1CC0D,no
U+1CC0E,no
U+1CC0F,no
U+1CC10,no
U+1CC11,no
U+1CC12,no
U+1CC13,no
U+1CC14,no
U+1CC15,no
U+1CC16,no
U+1CC17,no
U+1CC18,no
U+1CC19,no
U+1CC1A,no
U+1CC1B,no
U+1CC1C,no
U+1CC1D,no
U+1CC1E,no
U+1CC1F,no
U+1CC20,no
U+1CC21,no
U+1CC22,no
U+1CC23,no
U+1CC24,no
U+1CC25,no
U+1CC26,no
U+1CC27,no
U+1CC28,no
U+1CC29,no
U+1CC2A,no
U+1CC2B,no
U+1CC2C,no
U+1CC2D,no
U+1CC2E,no
U+1CC2F,no
U+1CC30,no
U+1CC31,no
U+1CC32,no
U+1CC33,no
U+1CC34,no
U+1CC35,no
U+1CC36,no
U+1CC37,no
U+1CC38,no
U+1CC39,no
U+1CC3A,no
U+1CC3B,no
U+1CC3C,no
U+1CC3D,no
U+1CC3E,no
U+1CC3F,no
U+1CC40,no
U+1CC41,no
U+1CC42,no
U+1CC43,no
U+1CC44,no
U+1CC45,no
U+1CC46,no
U+1CC47,no
U+1CC48,no
U+1CC49,no
U+1CC4A,no
U+1CC4B,no
U+1CC4C,no
U+1CC4D,no
U+1CC4E,no
U+1CC4F,no
U+1CC50,no
U+1CC51,no
U+1CC52,no
U+1CC53,no
U+1CC54,no
U+1CC55,no
U+1CC56,no
U+1CC57,no
U+1CC58,no
U+1CC59,no
U+1CC5A,no
U+1CC5B,no
U+1CC5C,no
U+1CC5D,no
U+1CC5E,no
U+1CC5F,no
U+1CC60,no
U+1CC61,no
U+1CC62,no
U+1CC63,no
U+1CC64,no
U+1CC65,no
U+1CC66,no
U+1CC67,no
U+1CC68,no
U+1CC69,no
U+1CC6A,no
U+1CC6B,no
U+1CC6C,no
U+1CC6D,no
U+1CC6E,no
U+1CC6F,no
U+1CC70,no
U+1CC71,no
U+1CC72,no
U+1CC73,no
U+1CC74,no
U+1CC75,no
U+1CC76,no
U+1CC77,no
U+1CC78,no
U+1CC79,no
U+1CC7A,no
U+1CC7B,no
U+1CC7C,no
U+1CC7D,no
U+1CC7E,no
U+1CC7F,no
U+1CC80,no
U+1CC81,no
U+1CC82,no
U+1CC83,no
U+1CC84,no
U+1CC85,no
U+1CC86,no
U+1CC87,no
U+1CC88,no
U+1CC89,no
U+1CC8A,no
U+1CC8B,no
U+1CC8C,no
U+1CC8D,no
U+1CC8E,no
U+1CC8F,no
U+1CC90,no
U+1CC91,no
U+1CC92,no
U+1CC93,no
U+1CC94,no
U+1CC95,no
U+1CC96,no
U+1CC97,no
U+1CC98,no
U+1CC99,no
U+1CC9A,no
U+1CC9B,no
U+1CC9C,no
U+1CC9D,no
U+1CC9E,no
U+1CC9F,no
U+1CCA0,no
U+1CCA1,no
U+1CCA2,no
U+1CCA3,no
U+1CCA4,no
U+1CCA5,no
U+1CCA6,no
U+1CCA7,no
U+1CCA8,no
U+1CCA9,no
U+1CCAA,no
U+1CCAB,no
U+1CCAC,no
U+1CCAD,no
U+1CCAE,no
U+1CCAF,no
U+1CCB0,no
U+1CCB1,no
U+1CCB2,no
U+1CCB3,no
U+1CCB4,no
U+1CCB5,no
U+1CCB6,no
U+1CCB7,no
U+1CCB8,no
U+1CCB9,no
U+1CCBA,no
U+1CCBB,no
U+1CCBC,no
U+1CCBD,no
U+1CCBE,no
U+1CCBF,no
U+1CCC0,no
U+1CCC1,no
U+1CCC2,no
U+1CCC3,no
U+1CCC4,no
U+1CCC5,no
U+1CCC6,no
U+1CCC7,no
U+1CCC8,no
U+1CCC9,no
U+1CCCA,no
U+1CCCB,no
U+1CCCC,no
U+1CCCD,no
U+1CCCE,no
U+1CCCF,no
U+1CCD0,no
U+1CCD1,no
U+1CCD2,no
U+1CCD3,no
U+1CCD4,no
U+1CCD5,no
U+1CCD6,no
U+1CCD7,no
U+1CCD8,no
U+1CCD9,no
U+1CCDA,no
U+1CCDB,no
U+1CCDC,no
U+1CCDD,no
U+1CCDE,no
U+1CCDF,no
U+1CCE0,no
U+1CCE1,no
U+1CCE2,no
U+1CCE3,no
U+1CCE4,no
U+1CCE5,no
U+1CCE6,no
U+1CCE7,no
U+1CCE8,no
U+1CCE9,no
U+1CCEA,no
U+1CCEB,no
U+1CCEC,no
U+1CCED,no
U+1CCEE,no
U+1CCEF,no
U+1CCF0,no
U+1CCF1,no
U+1CCF2,no
U+1CCF3,no
U+1CCF4,no
U+1CCF5,no
U+1CCF6,no
U+1CCF7,no
U+1CCF8,no
U+1CCF9,no
U+1CCFA,no
U+1CCFB,no
U+1CCFC,no
U+1CD00,yes
U+1CD01,yes
U+1CD02,yes
U+1CD03,yes
U+1CD04,yes
U+1CD05,yes
U+1CD06,yes
U+1CD07,yes
U+1CD08,yes
U+1CD09,yes
U+1CD0A,yes
U+1CD0B,yes
U+1CD0C,yes
U+1CD0D,yes
U+1CD0E,yes
U+1CD0F,yes
U+1CD10,yes
U+1CD11,yes
U+1CD12,yes
U+1CD13,yes
U+1CD14,yes
U+1CD15,yes
U+1CD16,yes
U+1CD17,yes
U+1CD18,yes
U+1CD19,yes
U+1CD1A,yes
U+1CD1B,yes
U+1CD1C,yes
U+1CD1D,yes
U+1CD1E,yes
U+1CD1F,yes
U+1CD20,yes
U+1CD21,yes
U+1CD22,yes
U+1CD23,yes
U+1CD24,yes
U+1CD25,yes
U+1CD26,yes
U+1CD27,yes
U+1CD28,yes
U+1CD29,yes
U+1CD2A,yes
U+1CD2B,yes
U+1CD2C,yes
U+1CD2D,yes
U+1CD2E,yes
U+1CD2F,yes
U+1CD30,yes
U+1CD31,yes
U+1CD32,yes
U+1CD33,yes
U+1CD34,yes
U+1CD35,yes
U+1CD36,yes
U+1CD37,yes
U+1CD38,yes
U+1CD39,yes
U+1CD3A,yes
U+1CD3B,yes
U+1CD3C,yes
U+1CD3D,yes
U+1CD3E,yes
U+1CD3F,yes
U+1CD40,yes
U+1CD41,yes
U+1CD42,yes
U+1CD43,yes
U+1CD44,yes
U+1CD45,yes
U+1CD46,yes
U+1CD47,yes
U+1CD48,yes
U+1CD49,yes
U+1CD4A,yes
U+1CD4B,yes
U+1CD4C,yes
U+1CD4D,yes
U+1CD4E,yes
U+1CD4F,yes
U+1CD50,yes
U+1CD51,yes
U+1CD52,yes
U+1CD53,yes
U+1CD54,yes
U+1CD55,yes
U+1CD56,yes
U+1CD57,yes
U+1CD58,yes
U+1CD59,yes
U+1CD5A,yes
U+1CD5B,yes
U+1CD5C,yes
U+1CD5D,yes
U+1CD5E,yes
U+1CD5F,yes
U+1CD60,yes
U+1CD61,yes
U+1CD62,yes
U+1CD63,yes
U+1CD64,yes
U+1CD65,yes
U+1CD66,yes
U+1CD67,yes
U+1CD68,yes
U+1CD69,yes
U+1CD6A,yes
U+1CD6B,yes
U+1CD6C,yes
U+1CD6D,yes
U+1CD6E,yes
U+1CD6F,yes
U+1CD70,yes
U+1CD71,yes
U+1CD72,yes
U+1CD73,yes
U+1CD74,yes
U+1CD75,yes
U+1CD76,yes
U+1CD77,yes
U+1CD78,yes
U+1CD79,yes
U+1CD7A,yes
U+1CD7B,yes
U+1CD7C,yes
U+1CD7D,yes
U+1CD7E,yes
U+1CD7F,yes
U+1CD80,yes
U+1CD81,yes
U+1CD82,yes
U+1CD83,yes
U+1CD84,yes
U+1CD85,yes
U+1CD86,yes
U+1CD87,yes
U+1CD88,yes
U+1CD89,yes
U+1CD8A,yes
U+1CD8B,yes
U+1CD8C,yes
U+1CD8D,yes
U+1CD8E,yes
U+1CD8F,yes
U+1CD90,yes
U+1CD91,yes
U+1CD92,yes
U+1CD93,yes
U+1CD94,yes
U+1CD95,yes
U+1CD96,yes
U+1CD97,yes
U+1CD98,yes
U+1CD99,yes
U+1CD9A,yes
U+1CD9B,yes
U+1CD9C,yes
U+1CD9D,yes
U+1CD9E,yes
U+1CD9F,yes
U+1CDA0,yes
U+1CDA1,yes
U+1CDA2,yes
U+1CDA3,yes
U+1CDA4,yes
U+1CDA5,yes
U+1CDA6,yes
U+1CDA7,yes
U+1CDA8,yes
U+1CDA9,yes
U+1CDAA,yes
U+1CDAB,yes
U+1CDAC,yes
U+1CDAD,yes
U+1CDAE,yes
U+1CDAF,yes
U+1CDB0,yes
U+1CDB1,yes
U+1CDB2,yes
U+1CDB3,yes
U+1CDB4,yes
U+1CDB5,yes
U+1CDB6,yes
U+1CDB7,yes
U+1CDB8,yes
U+1CDB9,yes
U+1CDBA,yes
U+1CDBB,yes
U+1CDBC,yes
U+1CDBD,yes
U+1CDBE,yes
U+1CDBF,yes
U+1CDC0,yes
U+1CDC1,yes
U+1CDC2,yes
U+1CDC3,yes
U+1CDC4,yes
U+1CDC5,yes
U+1CDC6,yes
U+1CDC7,yes
U+1CDC8,yes
U+1CDC9,yes
U+1CDCA,yes
U+1CDCB,yes
U+1CDCC,yes
U+1CDCD,yes
U+1CDCE,yes
U+1CDCF,yes
U+1CDD0,yes
U+1CDD1,yes
U+1CDD2,yes
U+1CDD3,yes
U+1CDD4,yes
U+1CDD5,yes
U+1CDD6,yes
U+1CDD7,yes
U+1CDD8,yes
U+1CDD9,yes
U+1CDDA,yes
U+1CDDB,yes
U+1CDDC,yes
U+1CDDD,yes
U+1CDDE,yes
U+1CDDF,yes
U+1CDE0,yes
U+1CDE1,yes
U+1CDE2,yes
U+1CDE3,yes
U+1CDE4,yes
U+1CDE5,yes
U+1CDE6,no
U+1CDE7,no
U+1CDE8,no
U+1CDE9,no
U+1CDEA,no
U+1CDEB,no
U+1CDEC,no
U+1CDED,no
U+1CDEE,no
U+1CDEF,no
U+1CDF0,no
U+1CDF1,no
U+1CDF2,no
U+1CDF3,no
U+1CDF4,no
U+1CDF5,no
U+1CDF6,no
U+1CDF7,no
U+1CDF8,no
U+1CDF9,no
U+1CDFA,no
U+1CDFB,no
U+1CDFC,no
U+1CDFD,no
U+1CDFE,no
U+1CDFF,no
U+1CE00,no
U+1CE01,no
U+1CE02,no
U+1CE03,no
U+1CE04,no
U+1CE05,no
U+1CE06,no
U+1CE07,no
U+1CE08,no
U+1CE09,no
U+1CE0A,no
U+1CE0B,no
U+1CE0C,no
U+1CE0D,no
U+1CE0E,no
U+1CE0F,no
U+1CE10,no
U+1CE11,no
U+1CE12,no
U+1CE13,no
U+1CE14,no
U+1CE15,no
U+1CE16,no
U+1CE17,no
U+1CE18,no
U+1CE19,no
U+1CE1A,no
U+1CE1B,no
U+1CE1C,no
U+1CE1D,no
U+1CE1E,no
U+1CE1F,no
U+1CE20,no
U+1CE21,no
U+1CE22,no
U+1CE23,no
U+1CE24,no
U+1CE25,no
U+1CE26,no
U+1CE27,no
U+1CE28,no
U+1CE29,no
U+1CE2A,no
U+1CE2B,no
U+1CE2C,no
U+1CE2D,no
U+1CE2E,no
U+1CE2F,no
U+1CE30,no
U+1CE31,no
U+1CE32,no
U+1CE33,no
U+1CE34,no
U+1CE35,no
U+1CE36,no
U+1CE37,no
U+1CE38,no
U+1CE39,no
U+1CE3A,no
U+1CE3B,no
U+1CE3C,no
U+1CE3D,no
U+1CE3E,no
U+1CE3F,no
U+1CE40,no
U+1CE41,no
U+1CE42,no
U+1CE43,no
U+1CE44,no
U+1CE45,no
U+1CE46,no
U+1CE47,no
U+1CE48,no
U+1CE49,no
U+1CE4A,no
U+1CE4B,no
U+1CE4C,no
U+1CE4D,no
U+1CE4E,no
U+1CE4F,no
U+1CE50,no
U+1CE51,no
U+1CE52,no
U+1CE53,no
U+1CE54,no
U+1CE55,no
U+1CE56,no
U+1CE57,no
U+1CE58,no
U+1CE59,no
U+1CE5A,no
U+1CE5B,no
U+1CE5C,no
U+1CE5D,no
U+1CE5E,no
U+1CE5F,no
U+1CE60,no
U+1CE61,no
U+1CE62,no
U+1CE63,no
U+1CE64,no
U+1CE65,no
U+1CE66,no
U+1CE67,no
U+1CE68,no
U+1CE69,no
U+1CE6A,no
U+1CE6B,no
U+1CE6C,no
U+1CE6D,no
U+1CE6E,no
U+1CE6F,no
U+1CE70,no
U+1CE71,no
U+1CE72,no
U+1CE73,no
U+1CE74,no
U+1CE75,no
U+1CE76,no
U+1CE77,no
U+1CE78,no
U+1CE79,no
U+1CE7A,no
U+1CE7B,no
U+1CE7C,no
U+1CE7D,no
U+1CE7E,no
U+1CE7F,no
U+1CE80,no
U+1CE81,no
U+1CE82,no
U+1CE83,no
U+1CE84,no
U+1CE85,no
U+1CE86,no
U+1CE87,no
U+1CE88,no
U+1CE89,no
U+1CE8A,no
U+1CE8B,no
U+1CE8C,no
U+1CE8D,no
U+1CE8E,no
U+1CE8F,no
U+1CE90,no
U+1CE91,no
U+1CE92,no
U+1CE93,no
U+1CE94,no
U+1CE95,no
U+1CE96,no
U+1CE97,no
U+1CE98,no
U+1CE99,no
U+1CE9A,no
U+1CE9B,no
U+1CE9C,no
U+1CE9D,no
U+1CE9E,no
U+1CE9F,no
U+1CEA0,no
U+1CEA1,no
U+1CEA2,no
U+1CEA3,no
U+1CEA4,no
U+1CEA5,no
U+1CEA6,no
U+1CEA7,no
U+1CEA8,no
U+1CEA9,no
U+1CEAA,no
U+1CEAB,no
U+1CEAC,no
U+1CEAD,no
U+1CEAE,no
U+1CEAF,no
U+1CEB0,no
U+1CEB1,no
U+1CEB2,no
U+1CEB3,no
U+1CEBA,no
U+1CEBB,no
U+1CEBC,no
U+1CEBD,no
U+1CEBE,no
U+1CEBF,no
